1,b,big,g,The opposite of small,
1,b,bin,n,,
1,a,apple,e,A fruit!,
1,a,ant,t,An insect that can bite sometimes,An insect whose name has 3 letters
1,a,ate,e,,
1,a,act,t,,
1,a,ask,k,,
2,a,artist,t,"Singers, dancers, painters are all this!",
1,b,bat,t,,
1,b,bad,d,The opposite of good!,
1,b,bun,n,,
1,b,but,t,,
1,b,bee,e,An insect that gives us honey,
1,b,back,k,,
1,d,dog,g,Woof woof,
1,d,dig,g,,
1,d,door,r,,
1,d,dot,t,,
1,d,dine,e,,
1,e,eat,t,,
1,e,end,d,,
1,e,eye,e,,
1,g,got,t,,
1,g,god,d,,
1,g,good,d,The opposite of bad!,
1,g,goat,t,I know an animal's name that has 4 letters,It gives you milk
1,k,key,y,,
1,k,king,g,,
1,k,kid,d,,
1,k,kind,d,,
1,k,kit,t,,
1,k,kite,e,You can fly this thing,
1,l,lie,e,,
1,l,lip,p,,
1,l,lap,p,,
1,l,let,t,,
1,l,lid,d,,
1,n,net,t,,
1,n,not,t,,
1,n,note,e,,
1,n,nod,d,,
1,n,nib,b,,
1,p,pit,t,,
1,p,pot,t,,
1,p,pin,n,,
1,p,pan,n,,
1,p,pen,n,,
1,p,pat,t,,
1,p,pie,e,,
1,r,rat,t,,
1,r,ran,n,,
1,r,run,n,,
1,r,rail,l,,
1,r,rip,p,,
1,r,rain,n,,
1,r,ring,g,,
1,r,rose,e,,
1,s,sit,t,,
1,s,sat,t,,
1,s,sun,n,,
1,s,son,n,,
1,s,sip,p,,
1,s,sea,a,,
1,t,ten,n,,
1,t,time,e,,
1,t,tap,p,,
1,t,tip,p,,
1,t,top,p,,
1,t,tub,b,,
1,t,tin,n,,
1,t,tail,l,,
1,t,tiger,r,,
1,t,toe,e,,
1,t,train,n,,
1,t,tree,e,,
1,y,yes,s,,
1,y,yet,t,,
1,y,yak,k,,
1,y,year,r,,
